Account ID,Entity ID,Balance,Join Date
1,30,470463,2023-04-03
2,86,532596,2017-08-27
3,89,26176,2018-04-22
4,153,31934,2018-06-17
5,51,536725,2010-03-18
6,143,715968,2023-06-10
7,107,850673,2017-10-30
8,97,530294,2017-10-30
9,71,288877,2021-12-04
10,167,232414,2018-04-24
11,32,896165,2011-01-30
12,20,392315,2020-08-21
13,144,439149,2018-06-17
14,158,87037,2011-09-19
15,145,512102,2018-06-17
16,18,13124,2023-02-09
17,22,863703,2021-11-09
18,188,848049,2020-06-05
19,26,828681,2016-08-23
20,62,310697,2021-05-09
21,195,97220,2021-09-17
22,52,720480,2020-06-05
23,156,164537,2017-08-13
24,82,337554,2020-09-20
25,15,687809,2020-09-20
26,182,487485,2023-06-10
27,181,493824,2020-09-20
28,114,779314,2017-10-30
29,193,859343,2021-05-09
30,176,533467,2017-08-13
31,96,632666,2020-09-20
32,83,371294,2014-01-09
33,42,702887,2021-09-17
34,43,597191,2018-04-22
35,105,781954,2023-12-08
36,17,423077,2017-08-13
37,46,393367,2018-11-29
38,108,884078,2018-06-17
39,59,126562,2010-03-18
40,57,926970,2011-01-30
41,128,774813,2014-02-09
42,87,485305,2021-12-04
43,10,551667,2011-09-19
44,7,983948,2014-01-09
45,53,116600,2014-02-09
46,142,29012,2013-11-21
47,130,234311,2018-06-17
48,137,971184,2023-12-08
49,151,499379,2014-09-17
50,24,93610,2023-12-08
51,45,906560,2018-04-24
52,155,836856,2013-11-21
53,133,603323,2010-03-18
54,78,194067,2021-11-09
55,146,94232,2021-05-09
56,79,599237,2010-03-18
57,118,814619,2016-08-23
58,101,811777,2014-09-17
59,73,488987,2011-01-30
60,92,306383,2018-04-24
61,85,754471,2014-01-09
62,95,58167,2010-03-18
63,77,732468,2020-06-05
64,159,498056,2014-02-09
65,120,297259,2016-08-23
66,124,617948,2020-08-21
67,192,811616,2013-11-21
68,113,343394,2014-09-17
69,54,216438,2023-04-03
70,199,661837,2023-12-08
71,175,786630,2014-02-09
72,197,73746,2017-10-30
73,39,198617,2021-12-04
74,121,88196,2018-04-24
75,69,160588,2014-09-17
76,80,369874,2021-12-04
77,200,849544,2023-04-03
78,84,176256,2022-09-06
79,139,984999,2010-03-18
80,44,797543,2021-09-17
81,166,496561,2018-04-22
82,135,775220,2023-12-08
83,163,141701,2018-11-29
84,190,299966,2013-11-21
85,61,20776,2011-01-30
86,88,397796,2013-11-21
87,72,33676,2014-01-09
88,198,364429,2018-11-29
89,41,40598,2022-09-06
90,12,931923,2018-04-12
91,174,10923,2020-06-05
92,112,672780,2023-12-08
93,63,185806,2020-09-20
94,179,643334,2018-03-24
95,154,102560,2023-06-10
96,66,339695,2010-03-18
97,186,180115,2017-10-30
98,185,927617,2020-06-05
99,5,426872,2018-06-17
100,111,133103,2018-04-22
101,138,649657,2021-12-04
102,58,534722,2020-08-21
103,162,83054,2013-11-21
104,48,253184,2017-05-04
105,25,583792,2022-09-06
106,136,27595,2023-06-10
107,2,883929,2013-11-21
108,109,771701,2021-09-17
109,1,58996,2011-01-30
110,67,72470,2018-11-29
111,172,45232,2023-02-09
112,117,499732,2020-09-20
113,125,25692,2010-03-18
114,152,767184,2017-08-27
115,165,245214,2018-04-24
116,189,519240,2023-12-08
117,31,672585,2013-11-21
118,110,488983,2018-04-24
119,161,870190,2016-08-23
120,34,660141,2023-04-03
121,16,20991,2011-09-19
122,102,475522,2023-04-03
123,70,278327,2020-09-20
124,13,467476,2018-04-22
125,3,634987,2020-06-05
126,49,809240,2020-08-21
127,60,598359,2020-06-05
128,148,380487,2017-08-13
129,103,993147,2014-02-09
130,168,576416,2017-08-27
131,184,128022,2021-05-09
132,99,894876,2011-01-30
133,129,441031,2018-04-12
134,170,532724,2020-08-21
135,4,602182,2018-11-29
136,23,884600,2017-05-04
137,119,887436,2020-08-21
138,177,444782,2018-04-12
139,98,823436,2020-09-20
140,27,324190,2020-09-20
141,8,81023,2014-09-17
142,47,613698,2018-06-17
143,75,295422,2018-04-24
144,74,991695,2018-06-17
145,122,520643,2021-11-09
146,100,37762,2017-08-27
147,183,412971,2014-01-09
148,131,379348,2011-09-19
149,178,99339,2017-08-27
150,6,564939,2011-01-30
