BondId,Value,IntrestRate,CreationDate,Expiration,PayInterval,SellerId
1,100000,0.0196,1995-01-07,1995-02-03,1,100
2,100000,0.1615,2001-12-13,2008-12-11,4,88
3,100000,0.0693,1999-02-17,2004-02-16,12,108
4,100000,0.0175,2006-05-24,2006-05-27,12,76
5,1000000,0.0526,1998-07-17,2002-07-16,2,66
6,1000,0.0619,1999-12-13,2002-12-12,2,31
7,100000,0.0548,2023-08-29,2026-08-28,4,11
8,100000,0.0885,2015-03-16,2021-03-14,4,121
9,1000000,0.0233,2012-07-01,2012-12-30,12,85
10,1000000,0.0447,2020-10-15,2024-10-14,2,52
11,100000,0.0731,2019-03-24,2021-03-23,8,72
12,100000,0.1198,2006-10-17,2013-10-15,8,78
13,10000,0.0394,2014-01-07,2015-01-07,12,78
14,1000,0.0525,2005-02-21,2007-02-21,2,3
15,10000,0.0091,2007-12-21,2007-12-24,8,109
16,100000,0.1615,2023-01-30,2030-01-28,12,70
17,1000000,0.2833,2015-01-27,2024-01-25,1,52
18,1000,0.0438,2017-08-10,2018-02-08,2,26
19,100000,0.0197,2014-06-12,2014-06-21,2,102
20,100000,0.0365,1994-10-25,1995-01-14,8,17
21,10000,0.0219,2012-08-30,2012-08-31,4,2
22,100000,0.0116,1999-03-18,1999-03-19,2,20
23,1000000,0.5312,2003-01-22,2013-01-19,12,53
24,10000,0.0512,2019-01-03,2024-01-02,12,12
25,1000000,0.0394,1999-04-17,2000-04-16,4,121
26,1000000,0.0462,1994-07-19,2000-07-17,8,60
27,1000,0.1354,2014-12-22,2021-12-20,2,117
28,100000,0.0731,1997-11-23,1999-11-23,2,83
29,10000,0.0197,2005-10-29,2005-11-07,2,71
30,1000,0.1198,2001-11-20,2008-11-18,12,121
31,100000,0.0708,2018-12-19,2020-12-18,12,105
32,1000,0.0274,2023-02-10,2023-08-11,12,93
33,1000000,0.3333,2021-04-16,2030-04-14,8,10
34,1000,0.0175,2016-05-02,2016-05-05,12,107
35,1000000,0.0178,1990-08-25,1990-08-26,12,117
