ActionID,BuyerID,BondID,EmployeeID,SellerID,TransactionDate
1,100,1,1,76,2029-03-26
2,117,2,2,81,2009-02-09
3,172,3,3,20,1996-04-22
4,193,4,4,3,2014-10-27
5,151,5,5,27,2016-06-12
6,97,6,6,36,2018-08-13
7,49,7,7,77,2020-03-13
8,47,8,8,106,2002-08-24
9,162,9,9,125,2023-08-23
10,73,10,10,122,1996-01-25
11,114,11,11,102,2021-01-04
12,186,12,12,37,2018-01-12
13,177,13,13,34,1997-05-22
14,99,14,14,75,1993-08-30
15,152,15,15,107,2020-12-02
16,24,16,1,42,2026-04-22
17,91,17,2,118,2010-04-01
18,1,18,3,23,1999-10-12
19,183,19,4,99,2014-02-04
20,169,20,5,86,2020-05-24
21,116,21,6,114,2013-11-17
22,136,22,7,120,2021-04-11
23,13,23,8,83,2003-12-23
24,79,24,9,2,2026-04-30
25,28,25,10,82,1996-03-24
26,39,26,11,46,2023-02-16
27,184,27,12,32,2019-11-13
28,64,28,13,47,1994-05-14
29,178,29,14,52,1994-05-18
30,43,30,15,126,2020-08-16
31,6,31,1,103,2028-07-09
32,175,32,2,28,2009-03-13
33,158,33,3,7,1997-07-08
34,134,34,4,94,2010-11-02
35,109,35,5,64,2020-08-05
36,157,36,6,41,2017-08-17
37,88,37,7,58,2022-10-01
38,118,38,8,21,2008-01-19
39,59,39,9,108,2026-06-07
40,94,40,10,93,2001-03-19
41,19,41,11,121,2023-03-30
42,149,42,12,54,2024-08-15
43,82,43,13,35,1998-09-20
44,5,44,14,12,1997-10-07
45,87,45,15,71,2022-06-24
46,194,46,1,101,2028-12-12
47,58,47,2,61,2013-06-25
48,45,48,3,17,1999-04-24
49,112,49,4,88,2013-01-23
50,145,50,5,30,2022-08-29
51,154,51,6,4,2012-11-27
52,160,52,7,112,2018-10-12
53,26,53,8,127,2003-05-08
54,37,54,9,100,2020-02-06
55,35,55,10,5,1994-10-28
56,7,56,11,50,2020-02-05
57,50,57,12,40,2023-04-15
58,23,58,13,113,1996-05-01
59,179,59,14,110,1998-06-04
60,46,60,15,59,2025-08-08
61,113,61,1,119,2029-10-16
62,156,62,2,79,2013-11-08
63,153,63,3,55,1996-12-13
64,185,64,4,128,2009-05-04
65,138,65,5,19,2022-09-21
66,93,66,6,80,2014-07-17
67,110,67,7,45,2024-01-06
68,72,68,8,38,2010-06-01
69,25,69,9,70,2021-06-02
70,78,70,10,98,1997-04-16
71,81,71,11,8,2017-04-23
72,147,72,12,22,2024-06-28
73,137,73,13,10,1996-06-19
74,176,74,14,26,1996-02-15
75,159,75,15,24,2020-05-03
76,126,76,1,15,2023-10-02
77,195,77,2,56,2009-11-21
78,70,78,3,57,1992-06-14
79,98,79,4,129,2009-05-25
80,84,80,5,89,2020-05-07
81,8,81,6,69,2018-11-12
82,38,82,7,43,2018-01-31
83,107,83,8,53,2003-10-28
84,127,84,9,104,2023-01-07
85,192,85,10,78,1998-04-22
86,95,86,11,9,2015-10-23
87,197,87,12,44,2021-03-26
88,85,88,13,18,1994-09-08
89,77,89,14,16,1994-11-06
90,41,90,15,124,2026-10-21
91,123,91,1,11,2031-09-22
92,10,92,2,123,2010-07-20
93,68,93,3,95,1995-10-21
94,181,94,4,65,2014-09-01
95,170,95,5,91,2022-04-26
96,146,96,6,105,2015-10-05
97,30,97,7,117,2023-02-21
98,104,98,8,90,2003-05-12
99,106,99,9,51,2024-01-17
100,143,100,10,68,1997-11-15
101,180,101,11,60,2018-03-19
102,14,102,12,109,2020-05-08
103,188,103,13,66,2000-12-15
104,189,104,14,96,1993-04-26
105,174,105,15,67,2023-01-15
106,65,106,1,62,2027-04-13
107,29,107,2,29,2012-02-01
108,111,108,3,111,1993-04-10
109,18,109,4,13,2015-07-04
110,148,110,5,92,2017-11-01
111,55,111,6,31,2016-08-19
112,69,112,7,84,2018-11-09
113,139,113,8,85,2005-12-20
114,61,114,9,87,2025-03-15
115,182,115,10,115,2001-10-04
116,22,116,11,6,2019-02-20
117,155,117,12,72,2024-08-09
118,86,118,13,116,1996-09-09
119,144,119,14,97,1999-06-28
120,90,120,15,25,2024-01-06
121,190,121,1,73,2024-03-19
122,122,122,2,49,2014-09-14
123,199,123,3,48,1998-02-26
124,198,124,4,1,2009-09-21
125,131,125,5,33,2018-06-14
126,27,126,6,74,2011-11-25
127,96,127,7,39,2021-01-25
128,83,128,8,14,2010-03-04
129,48,129,9,63,2025-04-26
